,People,Female,Median age,Renter households where rent payments are less than or equal to 30% of household income (b),Average number of people per household,Median weekly household income,Median monthly mortgage repayments,Median weekly rent (b),Average number of motor vehicles per dwelling,Married,Separated,Divorced,Widowed,Never married,Bachelor Degree level and above,Advanced Diploma and Diploma level,Certificate level IV,Certificate level III,Year 12,Year 11,Year 10,Certificate level II,Certificate level I,Year 9 or below,No educational attainment,Both parents born overseas,Father only born overseas,Mother only born overseas,Both parents born in Australia,In the labour force,Not in the labour force,Worked full-time,Worked part-time,Unemployed,Personal (b),Family (c),Household (d),SA1 Code,Area sqkm,Region,State,SA4_NAME_2016,Density
363,286.0,51.4%,52,9.0,2.4,"$1,178","$2,000",$200,2.5,46.2,3.2,7.2,3.2,37.5,20.7,6.4,5.6,17.1,10.8,5.6,13.1,0.0,0.0,6.8,0.0,16.0,3.5,4.2,63.2,50.6,39.4,51.2,35.4,3.1,$520,"$1,395","$1,178",10104102405,135.5974,Rest of NSW,New South Wales,Capital Region,2.109184984372857
364,263.0,48.5%,53,3.0,2.5,"$1,375","$1,603",$220,2.4,43.7,3.5,12.6,2.6,33.3,18.2,8.7,6.1,22.9,13.4,3.9,8.7,0.0,0.0,7.4,0.0,19.2,5.7,5.3,59.2,58.9,35.1,43.4,47.1,0.0,$664,"$1,531","$1,375",10104102406,110.6033,Rest of NSW,New South Wales,Capital Region,2.377867568146701
365,316.0,48.7%,58,4.0,2.4,"$1,218","$1,517",$350,2.4,58.8,2.1,8.6,3.4,27.8,16.5,11.0,2.7,22.0,11.7,2.4,13.7,0.0,0.0,6.9,0.0,20.0,5.7,6.3,62.9,42.6,53.3,62.9,29.0,3.2,$598,"$1,267","$1,218",10104102407,2.8107,Rest of NSW,New South Wales,Capital Region,112.42750916141885
366,281.0,50.5%,49,14.0,2.1,$985,"$1,300",$245,2,33.1,1.7,14.2,5.0,43.5,7.5,5.9,5.0,19.2,9.6,2.9,20.5,0.0,0.0,13.8,1.3,8.0,5.5,3.3,71.3,52.7,34.3,40.5,45.2,7.1,$568,"$1,430",$985,10104102408,1.0239,Rest of NSW,New South Wales,Capital Region,274.440863365563
367,285.0,47.7%,59,9.0,2,"$1,261","$1,228",$320,2.2,48.4,1.2,16.5,4.7,27.2,24.4,13.4,4.3,15.4,9.1,3.1,10.2,0.0,0.0,3.1,0.0,14.3,6.5,3.6,63.4,46.9,44.5,44.5,48.7,0.0,$785,"$1,583","$1,261",10104102409,150.7927,Rest of NSW,New South Wales,Capital Region,1.8900119170225085
368,207.0,52.2%,53,3.0,2.6,"$1,281",$493,$225,2.6,53.0,2.2,8.3,1.7,34.8,10.5,7.2,6.1,11.6,9.9,2.2,13.8,0.0,0.0,9.9,0.0,12.1,3.5,3.5,64.6,53.6,27.1,57.7,34.0,4.1,$597,"$1,375","$1,281",10104102410,86.7649,Rest of NSW,New South Wales,Capital Region,2.385757374237739
369,245.0,47.6%,56,4.0,2.2,"$1,089","$1,170",$400,2.1,45.5,4.5,15.5,5.5,27.3,7.7,8.2,2.7,23.6,8.2,3.6,20.5,0.0,0.0,9.5,0.0,13.9,7.1,3.6,65.5,49.5,41.8,42.2,40.4,2.8,$540,"$1,221","$1,089",10104102411,1.6658,Rest of NSW,New South Wales,Capital Region,147.07647976948013
370,319.0,52.1%,57,7.0,2.1,"$1,398","$1,633",$320,2.1,60.6,4.2,8.0,2.1,26.0,30.4,10.7,4.2,18.3,10.0,2.1,9.0,0.0,0.0,5.5,2.1,16.6,6.1,4.5,68.1,53.3,41.9,44.2,41.6,0.0,$788,"$1,476","$1,398",10104102412,5.1668,Rest of NSW,New South Wales,Capital Region,61.74034218471781
371,319.0,52.1%,57,7.0,2.1,"$1,398","$1,633",$320,2.1,60.6,4.2,8.0,2.1,26.0,30.4,10.7,4.2,18.3,10.0,2.1,9.0,0.0,0.0,5.5,2.1,16.6,6.1,4.5,68.1,53.3,41.9,44.2,41.6,0.0,$788,"$1,476","$1,398",10104102501,1.1689,Rest of NSW,New South Wales,Capital Region,272.906151082214
372,329.0,51.7%,55,24.0,2.1,"$1,044","$1,531",$330,1.6,46.3,3.8,13.9,5.9,28.2,24.4,13.6,2.4,15.3,13.2,2.8,12.5,1.0,0.0,4.2,0.0,20.8,4.9,3.4,65.7,50.5,44.9,49.7,39.3,6.9,$657,"$1,541","$1,044",10104102502,0.232,Rest of NSW,New South Wales,Capital Region,1418.103448275862
373,368.0,59.9%,72,23.0,1.4,$685,"$1,476",$222,1.2,29.3,3.4,22.3,29.3,15.8,13.8,9.6,2.8,9.9,9.6,5.1,9.9,0.0,0.0,17.7,0.0,21.6,4.3,3.2,57.7,22.5,62.8,46.2,42.5,5.0,$513,"$1,339",$685,10104102503,0.1856,Rest of NSW,New South Wales,Capital Region,1982.7586206896553
374,365.0,53.7%,40,46.0,1.6,$977,"$1,000",$300,1.2,22.7,6.1,17.2,6.7,50.0,16.6,9.2,4.6,16.6,15.3,4.6,11.3,0.0,0.0,8.0,0.0,23.5,3.5,4.9,59.3,61.0,28.2,53.3,38.7,2.5,$736,"$1,666",$977,10104102504,0.2159,Rest of NSW,New South Wales,Capital Region,1690.5974988420564
375,292.0,57.9%,58,26.0,1.7,$941,"$1,300",$310,1.3,32.8,4.9,14.3,15.5,32.5,16.2,10.9,6.4,15.1,14.7,3.8,15.5,0.0,0.0,7.2,0.0,18.3,9.0,4.8,62.4,48.7,46.4,51.9,41.9,3.9,$686,"$1,408",$941,10104102505,0.3298,Rest of NSW,New South Wales,Capital Region,885.3850818677987
376,319.0,52.5%,52,24.0,2.1,"$1,531","$1,800",$345,1.8,49.5,2.9,11.2,8.7,29.6,26.7,11.9,3.2,18.4,11.6,4.7,6.9,0.0,0.0,8.3,0.0,17.8,10.5,5.1,61.6,52.7,41.2,58.2,32.9,2.7,$875,"$2,024","$1,531",10104102506,0.9577,Rest of NSW,New South Wales,Capital Region,333.08969405868226
377,275.0,51.8%,58,5.0,2.4,"$1,699","$1,717",$380,2.1,66.5,1.7,12.6,5.2,15.2,31.3,15.2,3.9,15.7,10.9,6.1,10.0,0.0,0.0,3.9,0.0,16.3,7.2,6.5,67.8,53.0,45.7,45.1,44.3,4.9,$900,"$2,083","$1,699",10104102507,0.7588,Rest of NSW,New South Wales,Capital Region,362.41433842909856
378,610.0,54.2%,65,16.0,2,"$1,046","$1,625",$430,1.6,58.3,1.6,12.4,11.3,15.6,17.8,11.3,3.6,17.4,9.3,3.9,18.3,0.0,0.0,8.4,0.7,19.1,7.5,3.3,67.3,34.8,61.2,42.3,46.9,3.6,$583,"$1,363","$1,046",10104102508,1.5078,Rest of NSW,New South Wales,Capital Region,404.5629393818809
379,134.0,48.5%,47,4.0,2.8,"$1,542","$1,400",$270,2.7,56.2,0.0,8.0,0.0,29.5,14.3,8.9,0.0,25.0,9.8,8.9,14.3,0.0,0.0,6.2,0.0,13.4,5.2,8.2,62.7,63.4,22.3,53.5,38.0,0.0,$697,"$1,791","$1,542",10104102509,17.1758,Rest of NSW,New South Wales,Capital Region,7.801674448933966
380,442.0,50.7%,55,16.0,2.4,"$1,652","$1,872",$465,1.9,65.4,5.2,8.1,4.2,17.3,29.1,11.8,3.9,12.1,9.7,5.5,12.1,0.0,0.0,4.7,0.0,21.1,6.5,5.2,61.8,46.7,49.3,43.8,48.9,0.0,$727,"$1,852","$1,652",10104102510,0.9242,Rest of NSW,New South Wales,Capital Region,478.2514607227873
381,410.0,50.5%,54,20.0,2.3,"$1,316","$1,541",$450,1.8,58.4,3.8,8.1,6.6,24.0,24.6,9.0,3.8,14.7,9.5,8.1,12.1,0.0,0.0,7.2,1.2,17.0,6.3,3.6,71.1,54.3,46.0,43.1,49.5,2.1,$637,"$1,671","$1,316",10104102511,0.7862,Rest of NSW,New South Wales,Capital Region,521.4958025947597
382,505.0,52.4%,61,15.0,2,"$1,114","$1,540",$420,1.8,59.0,0.9,8.6,10.8,19.4,17.8,8.4,4.8,18.1,13.0,6.4,12.6,0.0,0.0,7.9,0.0,20.1,5.8,4.8,64.6,37.4,57.9,48.2,37.6,7.1,$607,"$1,458","$1,114",10104102512,0.4744,Rest of NSW,New South Wales,Capital Region,1064.5025295109613
383,469.0,51.2%,41,19.0,2.8,"$1,669","$1,625",$370,2.1,46.2,1.9,7.8,3.9,37.3,12.8,6.7,6.4,24.5,14.5,3.6,13.6,0.0,0.0,7.0,0.0,10.5,4.5,5.8,73.9,64.1,29.5,56.1,34.8,2.2,$787,"$1,807","$1,669",10104102513,5.1662,Rest of NSW,New South Wales,Capital Region,90.78239324842244
384,236.0,54.5%,50,16.0,2.2,$908,"$1,235",$330,1.6,45.1,4.1,14.4,8.2,30.3,17.9,8.2,3.1,17.9,11.8,6.2,15.4,0.0,0.0,11.8,0.0,11.6,10.8,3.7,69.7,49.2,47.2,45.8,46.9,0.0,$496,"$1,208",$908,10104102514,1.0513,Rest of NSW,New South Wales,Capital Region,224.4839722248645
385,321.0,48.6%,49,5.0,2.5,"$1,375","$1,517",$300,1.9,52.4,2.2,8.9,4.1,31.0,17.0,8.9,4.8,15.5,16.2,7.0,15.1,0.0,0.0,8.9,0.0,13.6,6.0,6.0,67.8,55.7,39.1,51.7,35.8,4.6,$676,"$1,728","$1,375",10104102516,1.4052,Rest of NSW,New South Wales,Capital Region,228.43723313407344
386,301.0,51.3%,53,11.0,2.1,"$1,363","$1,733",$355,1.8,49.0,2.7,15.6,6.1,26.6,24.0,9.9,1.1,17.1,12.9,8.7,9.9,0.0,0.0,5.7,0.0,10.0,7.0,4.7,74.9,52.9,44.9,57.6,34.5,0.0,$822,"$2,015","$1,363",10104102517,0.6373,Rest of NSW,New South Wales,Capital Region,472.30503687431354
387,614.0,49.4%,53,17.0,2.5,"$1,555","$2,033",$450,2,63.8,2.3,9.9,4.3,20.1,24.0,10.8,3.5,19.1,11.8,4.1,11.0,0.0,0.0,6.0,0.0,21.9,8.6,4.4,61.1,50.9,46.2,50.6,40.3,2.7,$727,"$1,671","$1,555",10104102518,0.9841,Rest of NSW,New South Wales,Capital Region,623.9203332994615
388,243.0,51.2%,67,9.0,2.1,"$1,075","$1,344",$400,1.9,52.6,2.2,8.3,21.5,19.7,17.1,9.2,4.8,11.8,8.8,6.1,15.8,0.0,0.0,5.3,0.0,18.2,4.5,5.0,54.5,36.8,41.7,47.6,50.0,0.0,$593,"$1,275","$1,075",10104102519,0.6283,Rest of NSW,New South Wales,Capital Region,386.75791819194654
389,580.0,54.0%,54,44.0,2,"$1,282","$1,625",$360,1.6,43.6,4.3,14.6,8.8,30.2,20.4,10.5,3.5,18.5,12.1,5.1,12.6,0.0,0.0,6.4,0.0,20.0,6.7,4.3,64.8,50.6,46.1,53.1,37.3,5.0,$728,"$1,492","$1,282",10104102520,0.5401,Rest of NSW,New South Wales,Capital Region,1073.8752082947601
390,340.0,49.1%,54,37.0,1.7,"$1,261","$1,300",$320,1.6,38.4,4.9,18.6,6.5,33.9,21.5,8.8,4.6,14.0,15.0,5.9,10.4,0.0,0.0,6.8,0.0,19.1,6.8,3.5,62.4,61.9,30.6,52.1,39.5,2.1,$807,"$1,767","$1,261",10104102521,1.3,Rest of NSW,New South Wales,Capital Region,261.53846153846155
391,370.0,51.4%,56,6.0,2.1,"$1,465","$1,539",$375,2.2,57.6,2.7,6.4,8.8,24.1,29.9,12.8,3.4,12.5,11.6,3.0,7.6,0.0,0.0,6.4,0.0,12.3,8.2,6.8,65.4,53.0,41.8,44.8,39.7,4.0,$822,"$2,071","$1,465",10104102522,0.331,Rest of NSW,New South Wales,Capital Region,1117.8247734138972
